îNåéì˙,ïΩãœãCâ∑(Åé)
2023/5/12,17.1
2023/5/13,18.3
2023/5/14,18.2
2023/5/15,18.0
2023/5/16,19.8
2023/5/17,22.1
2023/5/18,24.8
2023/5/19,21.6
2023/5/20,19.2
2023/5/21,20.9
2023/5/22,22.5
2023/5/23,14.4
2023/5/24,18.3
2023/5/25,19.1
2023/5/26,20.1
2023/5/27,21.0
2023/5/28,21.7
2023/5/29,21.1
2023/5/30,21.6
2023/5/31,19.5
2023/6/1,21.3
2023/6/2,22.9
2023/6/3,20.5
2023/6/4,22.6
2023/6/5,23.2
2023/6/6,21.2
2023/6/7,22.8
2023/6/8,23.3
2023/6/9,22.0
2023/6/10,22.3
2023/6/11,21.9
2023/6/12,21.7